Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison
pn;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_absence;y_20;hiver
bi;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_absence;y_20;hiver
bio;feverolle;feverolle;Trav_Sol_True;Phyto_False;Ferti_False;Temp_moy;Pluie_absence;y_20;hiver
ref;colza;colza;Trav_Sol_False;Phyto_True;Ferti_True;Temp_moy;Pluie_absence;y_20;hiver
bio;feverolle;feverolle;Trav_Sol_True;Phyto_False;Ferti_False;Temp_moy;Pluie_absence;y_20;printemps
acs;ble;repousse_de_colza;Trav_Sol_False;Phyto_True;Ferti_False;Temp_moy;Pluie_inf;y_20;automne
pn;ble;sol_nu;Trav_Sol_True;Phyto_False;Ferti_False;Temp_moy;Pluie_inf;y_20;automne
bi;ble;ble;Trav_Sol_True;Phyto_True;Ferti_False;Temp_moy;Pluie_inf;y_20;automne
bio;ble;ble;Trav_Sol_True;Phyto_True;Ferti_False;Temp_moy;Pluie_inf;y_20;automne
elev;ble;sol_nu;Trav_Sol_True;Phyto_False;Ferti_False;Temp_moy;Pluie_inf;y_20;automne
ref;ble;sol_nu;Trav_Sol_True;Phyto_False;Ferti_False;Temp_moy;Pluie_inf;y_20;automne
bi;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_sup;y_21;hiver
elev;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_sup;y_21;hiver
acs;ble;ble;Trav_Sol_True;Phyto_False;Ferti_True;Temp_basse;Pluie_inf;y_21;printemps
bi;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_inf;y_21;printemps
bio;ble;ble;Trav_Sol_True;Phyto_False;Ferti_False;Temp_basse;Pluie_inf;y_21;printemps
elev;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_inf;y_21;printemps
ref;ble;ble;Trav_Sol_False;Phyto_False;Ferti_True;Temp_basse;Pluie_inf;y_21;printemps
acs;ble;ble;Trav_Sol_True;Phyto_True;Ferti_False;Temp_basse;Pluie_sup;y_21;printemps
bi;ble;ble;Trav_Sol_False;Phyto_False;Ferti_False;Temp_basse;Pluie_sup;y_21;printemps
elev;ble;ble;Trav_Sol_False;Phyto_True;Ferti_False;Temp_basse;Pluie_sup;y_21;printemps
pn;ble;ble;Trav_Sol_False;Phyto_True;Ferti_False;Temp_elevee;Pluie_sup;y_21;printemps
ref;ble;ble;Trav_Sol_False;Phyto_True;Ferti_False;Temp_elevee;Pluie_sup;y_21;printemps
bio;ble;ble;Trav_Sol_False;Phyto_False;Ferti_False;Temp_elevee;Pluie_sup;y_21;ete
elev;colza;colza;Trav_Sol_True;Phyto_True;Ferti_False;Temp_moy;Pluie_absence;y_19;ete
