;Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison;Pic_O3;Pic_J45;Pic_J182
90;acs;escourgeon;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
91;pn;ble;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;1;1;0
92;bi;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
93;bio;triticale;sol_nu;True;0.0;0.0;moyenne;inf a la moy;2018;automne;0;0;0
94;elev;escourgeon;sol_nu;False;0.0;1.0;moyenne;inf a la moy;2018;automne;1;1;1
95;ref;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;inf a la moy;2018;automne;1;1;0
96;acs;escourgeon;escourgeon;True;1.0;0.0;elevee;absence;2018;automne;1;1;0
97;pn;ble;ble;True;1.0;0.0;elevee;absence;2018;automne;0;0;0
98;bi;orge_de_printemps;sol_nu;False;0.0;0.0;elevee;absence;2018;automne;1;1;0
99;bio;triticale;sol_nu;True;0.0;0.0;elevee;absence;2018;automne;0;0;0
100;elev;escourgeon;escourgeon;True;1.0;1.0;elevee;absence;2018;automne;1;1;1
101;ref;orge_de_printemps;sol_nu;False;0.0;0.0;elevee;absence;2018;automne;0;0;0
102;acs;escourgeon;escourgeon;True;1.0;0.0;basse;sup a la moy;2018;automne;0;0;0
103;pn;ble;ble;True;1.0;0.0;basse;sup a la moy;2018;automne;0;1;0
104;bi;orge_de_printemps;sol_nu;False;0.0;0.0;basse;sup a la moy;2018;automne;0;0;0
105;bio;triticale;sol_nu;False;0.0;0.0;basse;sup a la moy;2018;automne;0;0;0
106;elev;escourgeon;escourgeon;True;1.0;0.0;basse;sup a la moy;2018;automne;0;0;0
107;ref;orge_de_printemps;sol_nu;False;0.0;0.0;basse;sup a la moy;2018;automne;1;1;0
108;acs;escourgeon;escourgeon;True;1.0;0.0;moyenne;sup a la moy;2018;automne;1;1;0
109;pn;ble;ble;True;0.0;0.0;moyenne;sup a la moy;2018;automne;1;1;0
110;bi;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;sup a la moy;2018;automne;1;1;0
111;bio;triticale;sol_nu;True;0.0;0.0;moyenne;sup a la moy;2018;automne;1;1;1
112;elev;escourgeon;escourgeon;True;0.0;0.0;moyenne;sup a la moy;2018;automne;1;0;0
113;ref;orge_de_printemps;sol_nu;False;0.0;0.0;moyenne;sup a la moy;2018;automne;1;0;0
114;acs;escourgeon;escourgeon;True;0.0;0.0;basse;absence;2019;hiver;0;0;0
115;pn;ble;ble;True;0.0;0.0;basse;absence;2019;hiver;0;0;0
116;bi;orge_de_printemps;sol_nu;False;0.0;0.0;basse;absence;2019;hiver;0;1;0
117;bio;triticale;sol_nu;True;0.0;0.0;basse;absence;2019;hiver;1;1;1
118;elev;escourgeon;escourgeon;True;0.0;0.0;basse;absence;2019;hiver;0;0;0
119;ref;orge_de_printemps;sol_nu;False;0.0;0.0;basse;absence;2019;hiver;0;0;0
120;acs;escourgeon;escourgeon;False;0.0;0.0;basse;inf a la moy;2019;hiver;1;0;0
121;pn;ble;ble;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
122;bi;orge_de_printemps;sol_nu;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
123;bio;triticale;sol_nu;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
124;elev;escourgeon;escourgeon;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
125;ref;orge_de_printemps;sol_nu;False;0.0;0.0;basse;inf a la moy;2019;hiver;0;0;0
126;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;hiver;0;0;0
127;pn;ble;ble;False;0.0;1.0;moyenne;absence;2019;hiver;1;0;0
128;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;absence;2019;hiver;1;1;1
129;acs;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;0;1
130;pn;ble;ble;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;1;0
131;bi;orge_de_printemps;sol_nu;True;1.0;0.0;moyenne;inf a la moy;2019;hiver;1;0;1
132;bio;triticale;triticale;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;0;0
133;elev;escourgeon;escourgeon;False;0.0;1.0;moyenne;inf a la moy;2019;hiver;0;0;0
